DT,SN,BY,WC,HD,LP,AN,anio
2017-06-24,El Universal,Agencia El Universal,356 words,"""Movimiento LGBTTTI, es fuerte y no se detendrá jamás""","CIUDAD DE MÉXICO, junio 24 (EL UNIVERSAL).- El movimiento LGBTTTI cada día es más fuerte y la Marcha del Orgullo Gay es una manifestación para decirle al Estado mexicano y a la sociedad que la comunidad cada día son más, así lo afirmaron los organizadores de la XXXIX Marcha del Orgullo en la Ciudad de México.""Hoy vamos a recorrer estas calles para invitar a quienes no lo han hecho por un miedo legítimo, para decirles allá afuera que no están solos, y que el movimiento LGBTTTI, es cada día más fuerte y no se detendrá jamás. Vamos a llegar al Zócalo como cada año, para decirles a nuestro Estado y a nuestra sociedad que estos somos, que éstas son nuestras familias, estos son nuestros cuerpos, que somos muchos, que cada día somos más"", dijeron en el mensaje central.Al leer el mensaje central de la marcha, Alelhli Ordóñez, integrante del comité organizador, señaló que se han logrado muchas conquistas en los últimos años, pero aseguró que el camino es todavía largo, puesto que todavía en México se asesinan y discriminan personas por su preferencia sexual.""Mucho hemos logrado en estos años de lucha y movilización, pero el camino aún es largo. Vamos a llegar al Zócalo como cada año, para pedir justicia por nuestras hermanas trans, lesbianas, gay, y bisexuales que han sido asesinados y para las familias que sufren discriminación, para los compañeros que aún no son libres de salir y nombrarse, para estas poblaciones que aún no podemos llamarnos libres, ni satisfechas"", señaló.Ordóñez señaló que la marcha que recorrerá Paseo de la Reforma para recordar a todas aquellas personas que en casi 40 años han luchado por los derechos de la diversidad sexual, además de que la multitudinaria protesta será porque ""este movimiento sea un grito de esperanza y un movimiento capaz de cambiar la vergüenza por orgullo, porque nuestro grite llegue a todos los rincones de este país.",Document UNVSAL0020170624ed6o000p7,2017
2017-02-01,El Universal,Agencia El Universal,421 words,"Diana, la líder trans de los comerciantes","CIUDAD DE MÉXICO, febrero 1 (EL UNIVERSAL).- Pro Diana A.C., pertenece a una de las familias más influyentes y poderosas de la Ciudad de México porque es hija de una de las líderes que conformó la organización más grande del país: Alejandra Barrios Richard. Es la hija mayor y hermana de Graciela Coronel; de Hanna, Marlene y Silvia Sánchez, y de Sergio y Rubén Jiménez, que juntos agrupan ?a través de sus diferentes asociaciones? a más de 12 mil ambulantes. Es una mujer transexual que abiertamente reconoce que su mayor trauma es la discriminación que vivió en la época escolar por el simple hecho de querer ser mujer. La dirigente del comercio popular se considera luchadora social, quien desde los 12 años determinó tomar las riendas de su vida. Incluso, dice, no le importó enfrentarse a su familia. Comenta que de su madre ?la también ex asambleísta del PRI? ha aprendido mucho, porque desde muy pequeños los enseñó a trabajar. Hace años, Diana también vendió en las calles, aprendió a sortear lo que califica ?criminalización? de las autoridades y desde 2012 ha buscado una curul en la Asamblea Legislativa. En 2015 contendió para jefa delegacional en Cuauhtémoc. Con orgullo dice que fue la primera mujer transexual que aspira a ocupar un escaño en el congreso capitalino Ha fungido como consejera local en el PRD local, aunque recientemente se le ha visto en casi todos los eventos que organiza el jefe delegacional en Cuauhtémoc, Ricardo Monreal. Hace una semana, precisamente cuando la demarcación anunció la prohibición de ambulantaje en la Zona Rosa, la dirigente estuvo en la presentación del libro del delegado morenista, La economía del delito. Estudió Administración, se ha distinguido por ser una de las principales activistas de la diversidad sexual. También logró convertirse en la primera mujer trans en ser mamá mediante un proceso biológico. Su mayor logro se dio en 2014, cuando impulsó en la Asamblea Legislativa la rectificación de las actas de nacimiento para personas transgénero. Actualmente da la pelea frontal por los ambulantes, sus agremiados, quienes, asegura, son discriminados por la Dirección Jurídica y de Gobierno de la delegación Cuauhtémoc. ?Yo ya viví la burla y la discriminación, y no estoy dispuesta a que los comerciantes, que son gente, familia decente, se queden sin trabajar?.",Document UNVSAL0020170201ed21000e2,2017
2017-11-01,El Universal,Agencia El Universal,349 words,Ordena a CENAPI dar registros delictivos contra comunidad LGBTTTI,"CIUDAD DE MÉXICO, noviembre 1 (EL UNIVERSAL).- El Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (Inai) ordenó al Centro Nacional de Planeación, Análisis e Información para el Combate a la Delincuencia (CENAPI) de la PGR, dar a conocer registros delictivos contra personas lésbico, gay, bisexual, transexual, transgénero, travesti e intersexual (LGBTTTI).El organismo desconcentrado de la PGR deberá precisar también los casos de discriminación, violencia, violaciones a derechos humanos, desapariciones, homicidios y ejecuciones de los que hayan sido víctimas las personas LGBTTTI, así como la detención o privación de la libertad de integrantes de dicha comunidad, por alguna conducta delictiva.Lo anterior luego de que el organismo nacional de la transparencia revocó la respuesta que el CENAPI dio una solicitud de información, porque se declaró ""incompetente"" para atender la petición y orientó al ciudadano para que efectuara la solicitud a la PGR.No obstante, al sustanciar el caso, el comisionado presidente del Inai, Francisco Acuña expresó que abrir la información en temas relacionados con las personas LGBTTTI contribuye a sensibilizar a la población sobre este sector que exige el respeto irrestricto de sus derechos.""Esta comunidad, que se hace llamar por siglas LGBTTTI y que ya se ha mencionado, integra ese componente social que ha venido exigiendo una reivindicación y un derecho a ser respetados, a ser reconocidos y por supuesto manifestando toda condena a cualquier tipo de segregación o de manifestación de discriminación"", destacó.Acuña Llamas explicó que, en este asunto, los registros solicitados corresponden a las estadísticas o el número de casos relacionados con conductas delictivas en contra de esta comunidad.""De ninguna manera se podrían pedir listados con nombres de personas que se hubiesen reconocido en esta circunstancia"".Sin embargo, del análisis del caso se desprende que el CENAPI cuenta con atribuciones que le permiten conocer la información requerida, ya que diseña, integra e implementa sistemas y mecanismos de sistematización y análisis de la información relativa al fenómeno de la delincuencia en sus ámbitos nacional e internacional.",Document UNVSAL0020171101edb1000md,2017
2017-12-01,La Jornada,Fernando Camacho Servín,662 words,Arranca en 3 entidades plan piloto para prevenir el contagio de VIH,"Durante la conmemoración del Día Internacional de la Lucha contra el Sida, José de Jesús Arriaga Dávila, director de prestaciones médicas del IMSS; Pablo Kuri Morales, subsecretario de Prevención y Promoción, y José Narro Robles, titular de la Secretaría de SaludFoto Pablo Ramos Fernando Camacho Servín Viernes 1º de diciembre de 2017, p. 35 En el primer trimestre de 2018, se pondrá en marcha en tres entidades del país un programa piloto de profilaxis preexposición (Prep) al VIH, que implica la toma de medicamentos especiales por individuos que no tienen el virus, pero forman parte de grupos de alto riesgo, en una estrategia que podría evitar el contagio de la enfermedad, anunciaron autoridades del sector salud.",Document JORNDA0020171201edc100096,2017
2017-05-18,Milenio,AP,394 words,Chelsea Manning muestra foto como mujer,"La soldado transgénero Chelsea Manning mostró su nueva imagen como mujer, después de pasar siete años en prisión en Kansas por revelar documentos secretos del gobierno al portal WikiLeaks. TE RECOMENDAMOS:",Document MILENI0020170811ed5i0008d,2017
2017-03-17,La Jornada,"DEMOS, Desarrollo de Medios, S.A. de C.V.",858 words,Gabriela Rodríguez: ¿Martirizar la Constitución?,"Ya son muchos los ataques contra la Constitución de la Ciudad de México, una de las más progresistas del mundo. La imagen me remite al martirio de San Sebastián: una lluvia de flechas atravesando el torso de una figura masculina, pintada por hombres: Botticelli, El Greco, Rafael, se considera la primera pintura de un desnudo masculino. Siempre representado como un joven imberbe, con expresión de placer y de dolor, el inherente homoerotismo de sus imágenes lo convirtió en el primer icono gay de la historia de occidente. Para Tennessee Williams, San Sebastián es el primer gay martirizado en occidente, Oscar Wilde utilizó el nombre Sebastián como su propio alias después de su liberación de prisión. Actualmente es patrono de las personas Queer o LGBTI. Asaeteada por la Procuraduría General de la República, por la Presidencia de la República, por el Tribunal Superior de Justicia capitalino, por la Comisión Nacional de los Derechos Humanos, por el presidente del Senado, nuestra Constitución –siempre sustantivo femenino, como la ciudad– es blanco de instituciones federales, de verdugos que torturan a ciudadanos y ciudadanas con diversidad de identidades y de sueños. Nos atacan por querer forjar una nueva cultura política que reconozca la pluralidad y el sentido de vanguardia de la sociedad capitalina, por escribir un marco legal que permita cambiar las formas autoritarias de gobierno, por ciudadanizar un Poder Judicial que sólo ha reproducido la injusticia, por pretender enfrentar con seriedad la corrupción y por querer ampliar y hacer exigibles los derechos humanos.",Document JORNDA0020170317ed3h0002q,2017
2017-06-23,Reforma,Dalila Sarabia,111 words,Más vale tarde,"A punto de terminar, junio fue declarado como el mes del Orgullo Lésbico-Gay. Mañana, en punto de las 12:00 horas, saldrá la marcha del Ángel rumbo al Zócalo.",Document RFMA000020170623ed6n0001o,2017
2017-05-14,La Jornada,Jessica Xantomila,501 words,"""En el abandono"", adultos mayores miembros de la comunidad lésbico gay","En imagen de archivo, una pareja de la tercera edad imparte clase de danzón en la Plaza de la CiudadelaFoto Roberto García Ortiz Jessica Xantomila Periódico La Jornada Domingo 14 de mayo de 2017, p. 34 Los adultos mayores están olvidados, son pocas las familias que les ofrecen un lugar amable en sus hogares y esta condición se agrava cuando se reconocen como parte de la población lésbico, gay, bisexual, transexual, transgénero e intersexual (LGBTTI), señaló Samantha Flores García, presidenta de la asociación Laetus Vitae (Vida Alegre), quien desde hace seis años busca ofrecer una casa hogar para este sector. Añadió que tampoco ha sido opción que se refugien en los asilos para heterosexuales, pues por cultura no se acostumbra todavía a la compañía de hombres gays y creen que si están con ellos se los van a querer ligar.",Document JORNDA0020170514ed5e0000d,2017
2017-07-09,Reforma,"Ana Karen Ángeles Jiménez, Salvador Fregoso Miranda, Benito A. Rivera Izaguirre y Emérico González Caballero",612 words,Cartas a Reforma,"Ni discriminar ni excluir No estoy en contra ni a favor, pero tampoco me gusta ver cómo los excluyen. Me llena de alegría ver el Reino Unido, cómo organiza desfiles para el Orgullo Gay. Ojalá y acabe algún día la homofobia y luchen para defender la igualdad y sus derechos.",Document RFMA000020170709ed790003o,2017
2017-12-19,El Universal,Agencia El Universal,488 words,Pospone INE debate sobre voto de personas transexuales,"CIUDAD DE MÉXICO, diciembre 19 (EL UNIVERSAL).- El Instituto Nacional Electoral (INE) metió reversa y decidió posponer la discusión del Protocolo para garantizar el voto de las personas transexuales en las casillas durante los comicios de 2018, esto, luego de que el Consejo Nacional para Prevenir la Discriminación (Conapred) se emitieran cautelares, pues el documento podría convertirse en un instrumento para restringir y afectar derechos.También el Consejo para Prevenir y Eliminar la Discriminación de la Ciudad de México (Copred) alertó que el protocolo, que sería avalado por el Consejo General del INE, podría vulnerar derechos de la comunidad de lesbianas, gays, bisexuales, transexuales, travesti, transgénero e intersexuales (LGBTTTI).Así, al inicio de la sesión, el consejero presidente del INE, Lorenzo Córdova, sometió a votación el retiro del proyecto, vio viable alcanzar consensos e informó que la titular de Conapred, Alexandra Haas Paciuc, solicitó reunirse con los consejeros.El proyecto fue aprobado el pasado 12 de diciembre por la Comisión de Organización y Capacitación del INE, en cuya discusión el PRD y los consejeros Dania Ravel, Pamela San Martín y José Roberto Ruiz Saldaña advirtieron riesgos de trato discriminatorio.En el debate se enfrentaron argumentos de privilegiar la certeza ?impulsados por los consejeros Benito Nacif y Jaime Rivera? o el derecho al voto, ya que el protocolo establecía que si una persona presenta su credencial en casilla, pero su fotografía no coincide con su apariencia física, se le debe preguntar respecto a si es el portador y verificar datos biométricos (visibles al ""analizar"" la cara) para confirmar la identidad.Lo que más molestó a la comunidad LGTBTTT fue el argumento del consejero Jaime Rivera, quien expuso que a todos se les pide identificarse.""No podríamos decir que a nadie le pidamos que se identifique con la credencial para votar, ni a mujeres musulmanas que lleven burka, o a un payaso que el domingo va a trabajar ya vestido con su traje de trabajo, lo digo con toda seriedad y respeto"", dijo.Durante el fin de semana el documento fue matizado y la nueva redacción, que sería presentada este lunes, reducía la posibilidad de discriminación, pues se incluía que ""no será necesario que el nombre y el sexo [de la credencial] coincidan"" con el del portador y bastaría ""similitud razonable"" de éste con la fotografía, para que pudiese votar.Integrantes de la comunidad LGBTTTI que acudieron este lunes al INE, acompañados del secretario y subsecretario de la Diversidad del PRD, Antonio Medina y Manuel Oropeza, consideraron el nuevo texto como un avance, aunque aún hay margen de que los funcionarios de casilla discriminen.En rueda de prensa, las activistas de esa comunidad, Valentina Thelema y Marbella Ortiz, pidieron al INE no permitirlo.En la explanada del INE, activistas y perredistas coincidieron con el consejero Jaime Rivera, quien ofreció disculpas si alguien se sintió afectado por su argumento.",Document UNVSAL0020171219edcj000ha,2017
2017-02-15,El Universal,Agencia El Universal,447 words,Conapred pide reincorporar a transgénero a Universidad de Zacatecas,"CIUDAD DE MÉXICO, febrero 15 (EL UNIVERSAL).- La Comisión Nacional para Prevenir y Erradicar la Discriminación (Conapred) recomendó a la Universidad Autónoma de Zacatecas (UAZ) reincorporar a Camila Jiménez, la joven transgénero que denunció discriminación luego de que la institución le impidió inscribirse y cursar el último semestre de la maestría en Ciencias Sociales. ?La parte jurídica la tenemos que analizar. La universidad argumenta que hay una deficiencia académica, no argumenta que es un problema relacionado con su identidad de género, sino que no cumplió con algunos requisitos académicos. Ella dice que tiene pruebas de que cumplió con todos los requisitos?, indicó la presidenta de Conapred, Alejandra Haas. Agregó que ya se comunicó con la Universidad para recomendarle que mientras investiga y resuelve el caso de Camila, reincorpore a la joven para evitar afectaciones a su desempeño académico. ?No me puedo pronunciar pero lo primero que hicimos fue pedirle a la Universidad que la reinstaure, porque mientras el caso se desahoga, el tiempo que ella puede perder en la universidad es tiempo que ya no se puede recuperar. Mandamos medidas precautorias para evitar que se le siga violando el derecho?, dijo. En entrevista con EL UNIVERSAL, Haas dijo que por tratarse de una universidad pública, el caso corresponde a la Comisión Estatal de Derechos Humanos de Zacatecas. Mencionó, además, que ya se reunió con Camila y sus abogados para dar seguimiento al tema; aunque no puede tener un posicionamiento oficial, dado que el caso está fuera de su competencia. ?Es una universidad pública, entonces referimos la queja a la Comisión Estatal de Derechos Humanos de Zacatecas. De todas maneras, le solicitamos a través de un oficio a la Universidad que reinstaure a Camila su derecho a la educación. Es preocupante porque Camila está en su último semestre de la maestría, entonces realmente le generaría un gran problema?. Hasta el momento, la opción que propone la universidad es que Camila espere dos años y se reinscriba en 2019 para iniciar desde cero la maestría, opción que es poco viable para la joven transexual. ?La propuesta que le dan es que si se resuelve el tema, quizás se pueda volver a inscribir hasta el 2019 para volver a empezar la maestría lo cual sería terriblemente preocupante. Estamos analizando el caso con mucho detenimiento y estamos conversando con organizaciones sociales, que se han acercado con nosotros y con ellos le vamos a dar acompañamiento desde el área de orientación?.",Document UNVSAL0020170216ed2f0002x,2017
2017-01-11,El Universal,Agencia El Universal,476 words,Frente por la Familia pide plebiscito para Constitución,"CIUDAD DE MÉXICO, enero 11 (EL UNIVERSAL).- El Frente Nacional por la Familia hizo un llamado al jefe de gobierno capitalino, Miguel Ángel Mancera, para que la nueva Constitución de la Ciudad de México no caiga en ?desequilibrios generistas? que atentan contra la ciudadanía y pidió que el texto constitucional sea sometido a ?plebiscito?. El Frente, que reúne a más de mil organizaciones civiles, destacó que las familias de la capital del país fueron ?severamente atacadas? por la aprobación del matrimonio igualitario en la nueva Constitución capitalina debido a que ?vulnera a cientos de familias? y al incluir términos que ?sirven a la imposición de la agenda de la ideología de género?. ?Hasta el momento se han logrado detener los reiterados intentos por hacer pasar el aborto como un derecho. El Frente Nacional por la Familia hace un llamado al jefe de gobierno para que la nueva Constitución de la CDMX no caiga en desequilibrios e ideologías generistas que atenten contra la ciudadanía como lo es la cultura de la muerte?, expresó. Lamentó también que el PRD y Morena persistan en el ?capricho ideológico? de no incluir el derecho a la vida en la Constitución, por lo que se mantendrán vigilantes para que el aborto no se incluya como derecho en la carta magna capitalina. ?El texto actual en materia de vida, queda huérfano de fundamento toda vez que ante una multiplicidad de derechos y 'nuevos derechos', incluyendo de los animales por su 'inherente dignidad' hasta el 'derecho a la muerte', no se reconoce el primero de todos, sin el cual no es posible ejercer ni disfrutar ningún otro, ni de igualdad, inclusión, solidaridad, justicia, expresión, empleo, movilidad?, sin derecho a la vida no tiene sentido hablar con seriedad de ningún otro derecho. Por eso consideramos que el texto constitucional debe ser sometido a plebiscito?, argumentó. El Frente Nacional por la Familia llamó a los padres de familia y sociedad civil a no dejarse engañar por la ideología de género, la cual ?busca desvincular la comunicación entre padres e hijos y confundir a nuestra niñez mexicana? y advirtió que seguirá concientizando respecto al derecho de los padres de familia a ser educados por una madre y un padre. El martes, la Asamblea Constituyente elevó a rango constitucional el derecho al matrimonio civil de personas lesbianas, gays, bisexuales, transgénero, transexuales, travestis e intersexuales (LGBTTTI). Tras una discusión en la que las bancadas del PRD y Morena defendieron la conquista de este derecho desde 2009, mientras que bancadas como PRI y PAN votaron de manera dividida, ayer la Constituyente dejó en firme el reconocimiento del matrimonio igualitario.",Document UNVSAL0020170111ed1b000pi,2017
2017-06-16,Reforma,Juana Inés Dehesa,489 words,Juana Inés Dehesa / Ideas en la cabeza,"""Ya te metieron ideas en la cabeza decimos los mexicanos con el gesto torcido cada vez que un cercano nos sale con una decisión tremenda. Inmediatamente después del anuncio de que el ser en cuestión ha decidido volverse vegetariano ovolácteo, convertirse al sintoísmo o abandonar sus estudios de Administración para probar suerte cantando reguetón en La Voz México, se posesiona de nosotros el espíritu de Libertad Lamarque, nos mordemos el nudillo del índice derecho y preguntamos, con la voz entrecortada, ""¿quién te ha estado metiendo ideas?. Ojo, no es lo mismo meter ideas en la cabeza que enseñar, despertar la curiosidad o ampliar los horizontes de conocimiento. Nonono. Uno paga ingentes cantidades de dinero, al Estado y a las instituciones privadas, para que le llenen la cabeza de ideas a los hijos o a quienes estén a nuestro cargo: que vayan a la escuela a aprender los ríos de Europa y cómo se calcula el tiro parabólico está muy bien. Que tomen clases de capoeira, arte, parcour, mapas mentales, chino mandarín o la disciplina que esté de moda también es aceptable y hasta conveniente, tomando en cuenta que el universo laboral cada vez se pone más descarnado y hay que saber hacerle a todo. Peeeero, hay que poner mucha atención: hay de ideas a ideas. Dicho de otra forma, unas nos gustan y otras no.",Document RFMA000020170616ed6g0001f,2017
2017-04-24,Reforma,Antonio Nieto,221 words,Detienen a transgénero por muerte de mujer,"Una mujer transgénero cobraba derecho de piso a sexoservidoras en Calzada de Tlalpan; una se negó y fue asesinada. Ella, quien también es sexoservidora, mantenía bajo amenaza a compañeras de trabajo.",Document RFMA000020170424ed4o00024,2017
2017-12-01,El Universal,Agencia El Universal,734 words,CNDH urge a garantizar atención para controlar epidemia de VIH y Sida,"CIUDAD DE MÉXICO, diciembre 1 (EL UNIVERSAL).- La Comisión Nacional de los Derechos Humanos (CNDH) afirmó que el acceso al derecho a la protección de la salud permitirá controlar la epidemia de VIH y Sida en México, además de que lograr una respuesta rápida y efectiva para este padecimiento es un imperativo.En marcos del Día Mundial de Lucha contra el Sida, el organismo indicó que la respuesta a la epidemia exige que la información y la prevención se refuercen entre la juventud, por lo que, señaló, resulta indispensable que la educación de la sexualidad incluya la prevención del VIH desde antes del inicio de las relaciones sexuales, por lo que los jóvenes deben también contar con información que les permita acceder a los insumos de prevención (condones masculinos y femeninos) de infecciones de transmisión sexual (ITS) y VIH, así como embarazos no deseados.La comisión detalló que de acuerdo con reportes de la Secretaría de Salud (Ssa), en México hay 191 mil 336 casos acumulados de Sida desde 1983 hasta el primer semestre de este año, de los cuales el 47.8% de los nuevos casos se han dado en personas entre los 15 y 29 años de edad y el 95.7% se han producido por la vía sexual, además, de que se estima que viven con VIH alrededor de 220 mil personas en nuestro país.En este sentido, la CNDH detalló que por medio de su ""Programa Especial de VIH y Derechos Humanos"", el organismo ha detectado que las violaciones más frecuentes a los derechos humanos de quienes padecen esta enfermedad, entre 2010 y 2017, en nuestro país son omitir suministrar medicamentos, con 244 expedientes de queja (41.22% del total); omitir proporcionar atención médica, con 141 expedientes de queja (23.82% del total); y prestación indebida del servicio público, con 65 quejas (10.98% del total).""Para esta comisión nacional resulta muy preocupante que poco más de 40% de las quejas tienen que ver con la falta de suministro de medicamentos, ya que la salud y la sobrevivencia de las personas que viven con VIH depende de la adherencia a los tratamientos y de que éstos se proporcionen en tiempo y forma"", agregó.El organismo apuntó que el lema de este año por parte del Programa Conjunto de Naciones Unidas sobre VIH/Sida (ONUSIDA) es ""Mi salud: mi derecho"", el cual ""no es sólo un lema"", sino un derecho consagrado en la Constitución, por lo que ""solo el acceso efectivo a la protección de la salud permitirá controlar la epidemia del Sida en nuestro país, y hay que recordar que en el centro de la respuesta al VIH se encuentran los derechos humanos"".Ante esta situación, la CNDH manifestó que es necesario tomar en cuenta a las poblaciones clave que tienen las mayores prevalencias en VIH y Sida en nuestro país, como los hombres que tienen sexo con hombres (HSH), las mujeres trans, los trabajadores sexuales y las personas usuarias de drogas inyectables (PUDI).""Esta Comisión Nacional señala que esa epidemia no sólo afecta a las personas con orientación sexual distinta a la heterosexual. Cualquier persona está en riesgo de adquirir el VIH, por lo cual es necesario ofrecer la prueba de detección a todas las mujeres embarazadas, como lo indica la normatividad, y tratamientos antirretrovirales a todas aquellas que lo requieran, así como a sus hijos recién nacidas"".La Comisión Nacional De Derechos Humanos informó que hasta el primer semestre de 2017, la mayor tasa de casos nuevos diagnosticados con Sida se dio en Campeche (8.3%), Quintana Roo (5.0%) y Guerrero (4.9%), mientras que los nuevos casos de VIH se han reportado en Tabasco (9.3%) Campeche (9.0%) y Yucatán (8.5%) por lo que resulta altamente preocupante la situación en el sur y el sureste del país, dado que es la zona donde tiende a aumentar a mayor velocidad la epidemia.Además que los hombres constituyen el 84.3% de los casos de Sida y 81.4% de los casos de VIH reportados por el Registro Nacional de Casos de SIDA hasta el primer semestre de 2017. Entre las mujeres la prevalencia ha aumentado, puesto que se han registrado 34 mil 379 casos de Sida en mujeres, es decir, 15.7% del total, y de VIH 18.6%.",Document UNVSAL0020171201edc1000p5,2017
2017-11-02,Reforma,NA,42 words,Registros delictivos,"El INAI instruyó al Centro Nacional de Planeación, Análisis e Información para el Combate a la Delincuencia, dar a conocer los registros delictivos con que cuenta en contra de personas lésbico, gay, bisexual, transexual, transgénero, travesti e intersexual (LGBTTTI). NA",Document RFMA000020171102edb20003y,2017
2017-03-28,La Jornada,Jessica Xantomila,435 words,"Vogue, el baile de la comunidad LGBTT","Jessica Xantomila Periódico La Jornada Martes 28 de marzo de 2017, p. 39 Libertad es lo que constantemente busca la comunidad lésbico, gay, transexual, travesti (LGBTT). Ahora lo está consiguiendo en la cultura ballroom (salón de baile), con el vogue, una danza que permite que los cuerpos puedan moverse transgrediendo la norma de lo binario (hombre y mujer), al ritmo de diferentes tipos de house. El vogue requiere pasos básicos: movimiento de las manos, que generen ilusiones visuales; catwalk o desplazamiento de gato, que involucra mucho cadereo; el duckwalk, caminado de pato, que sea en cuclillas y requiere fuerza, por ejemplo, en los muslos, porque la idea es ir avanzan-do mientras se van haciendo movimientos con las manos; giros y caídas, explicó Siobhan Guerrero, integrante de House Drag.",Document JORNDA0020170328ed3s00010,2017
2017-06-12,Reforma,REFORMA / Staff,447 words,Defiende a reos y lo ejecutan,"Una persona transexual que se había erigido como vocera de familiares de internos en el penal de Ciudad Victoria fue ejecutada ayer junto a otras dos personas en un domicilio particular de esta ciudad, confirmaron autoridades de Tamaulipas. De acuerdo con la información oficial, las tres personas fueron ejecutadas en la Colonia Sagitario de Ciudad Victoria durante la tarde del sábado.",Document RFMA000020170612ed6c0003y,2017
2017-06-24,El Universal,Agencia El Universal,221 words,Se concentran en el Ángel de la Independencia por marcha gay,"CIUDAD DE MÉXICO, junio 24 (EL UNIVERSAL).- Con motivo de la XXXIX Marcha del Orgullo de la Comunidad Lésbico, Gay, Bisexual, Transexual, Transgénero, Travesti e Intersexual en la Ciudad de México, se realizan diversos cortes viales en las principales arterias del centro de la capital.La Secretaría de Seguridad Pública capitalina informó que los asistentes a la marcha por el orgullo gay ya comienzan a concentrarse en el Ángel de la Independencia y se encuentra cerrada la circulación sobre el Paseo de la Reforma, entre la Glorieta de la Diana y la Palma.Las alternativas viales son: avenida de los Insurgentes, avenida Chapultepec, Circuito Interior y James Sullivan.Se espera que continúe el arribo de integrantes de la comunidad LGBTTTI a lo largo del Paseo de la Reforma, para acompañar la caravana de carros alegóricos que desfilarán desde el Ángel de la Independencia hacia el Zócalo a las 12:00 horas.El contingente avanzará sobre Paseo de la Reforma, con dirección al norte, hasta llegar a la avenida Juárez, para incorporarse a la calle 5 de Mayo y después ingresar a la Plaza de la Constitución.",Document UNVSAL0020170624ed6o000jl,2017
2017-10-31,El Universal,Agencia El Universal,228 words,Arranca feria de trabajo para comunidad LGBTTTI en CDMX,"CIUDAD DE MÉXICO, octubre 31 (EL UNIVERSAL).- Este martes fue inaugurada la Cuarta Feria de Empleo para la comunidad Lésbico, Gay, Bisexual, Transexual, Intersexual (LGBTTI) en la Ciudad de México, en la que se ofrecen vacantes a este sector de la población.""El derecho que principalmente se viola cuando hablamos de no discriminación es el del trabajo. Es ahí donde hay prejuicios y estigmas sobre la diversidad sexual. (Por ejemplo) No les quieren dar trabajo cuando hacen su transición, cuando comparten sus preferencias, cuando son despedidas o despedidos. Estas acciones como la feria son importantes para grupos prioritarios. No es que tengan una ventaja. Hablamos de nivelar oportunidades"", dijo la presidenta del consejo para Prevenir y Eliminar la Discriminación de la CDMX, Jacqueline L´Hoist Tapia.Norma Sandoval, fundadora de una asociación civil, explicó que la feria da la oportunidad de ""poder llevar el sustento a nuestras casas, tener acceso a la salud con prestaciones, un derecho a patrimonio y crear antigüedad para una pensión"".Está feria, ubicada en la explanada de la Estela de Luz, sobre Avenida Paseo de la Reforma esquina Lijea, estará presente hasta las 19:00 horas.En el evento de inauguración fueron reconocidas por la secretaria del trabajo, Amalia García Medina; las empresas Anexa Telecomunicaciones, Metlife Servicios, Soluciones Estratégicas MRG.",Document UNVSAL0020171031edav000md,2017
2017-07-22,El Universal,Agencia El Universal,389 words,CDMX entregará actas de nacimiento a personas transgénero,"CIUDAD DE MÉXICO, julio 22 (EL UNIVERSAL).- En un acto que el Gobierno capitalino calificó como ""histórico"", la Ciudad de México recibirá a la población lésbico, gay, bisexual, travesti, transexual, transgénero e intersexual (LGBTTTI), de más de 20 estados de la República Mexicana para entregarles actas de nacimiento con reconocimiento de identidad de género.La administración local ha concretado mil 923 trámites de cambio de identidad de género durante los últimos tres años, y en esta ocasión entregará los registros de alumbramiento a personas de la población transgénero de otros estados que así lo hayan solicitado y también hayan concretado el trámite en la última campaña.La Ciudad de México sigue avanzando en el reconocimiento de los derechos de las personas de la comunidad LGBTTTI con derechos como los matrimonios igualitarios y la adopción de menores.Facilitan trámites. La entrega de actas de nacimiento se realizará en la Plaza de la Identidad del Registro Civil, ubicada en Arcos de Belén 19, y en ella participarán representantes de organismos internacionales y de la sociedad civil.Además, en este mismo evento se habilitará una Feria de Servicios en la cual se brindarán asesorías jurídicas gratuitas que faciliten trámites de testamentos, escrituras y actas de nacimiento para los capitalinos interesados en regularizar la situación jurídica de sus propiedades y no dejar problemas a sus descendientes al fallecer.El servicio del Registro Civil capitalino estará operando con la estrategia de atención de El Abogado en tu Casa, que emitirá actas de nacimiento sin costo a todos los capitalinos y personas que vivan en la metrópoli pero hayan nacido en otras entidades.Las autoridades explicaron que para que los interesados puedan gozar de este beneficio sin tener que trasladarse a sus lugares de origen ""el Registro Civil de sus comunidades deben haber subido la información correspondiente a la base de datos nacional"".Este programa inició del 8 al 30 de junio pasado; para el trámite se les pidió a los interesados acudir a las oficinas de la Consejería Jurídica, ubicadas en Plaza de la Constitución 2, segundo piso, oficina 210 con acta de nacimiento original, identificación oficial vigente y comprobante de domicilio.",Document UNVSAL0020170722ed7m000fn,2017
